"","ages","inner_turnouts","outer_turnouts"
"1",1,NA,NA
"2",2,NA,NA
"3",3,NA,NA
"4",4,NA,NA
"5",5,NA,NA
"6",6,NA,NA
"7",7,NA,NA
"8",8,NA,NA
"9",9,NA,NA
"10",10,NA,NA
"11",11,NA,NA
"12",12,NA,NA
"13",13,NA,NA
"14",14,NA,NA
"15",15,NA,NA
"16",16,NA,NA
"17",17,NA,NA
"18",18,NA,NA
"19",19,NA,NA
"20",20,1,0.661290322580645
"21",21,0.710526315789474,0.644628099173554
"22",22,0.727272727272727,0.622918707149853
"23",23,0.674107142857143,0.618594823032224
"24",24,0.595419847328244,0.612356751370204
"25",25,0.67719298245614,0.617662337662338
"26",26,0.659420289855073,0.633023027927487
"27",27,0.657971014492754,0.638279932546374
"28",28,0.685552407932011,0.651006711409396
"29",29,0.697674418604651,0.681744749596123
"30",30,0.710365853658537,0.690415606446141
"31",31,0.776470588235294,0.69546178343949
"32",32,0.791139240506329,0.715261958997722
"33",33,0.791327913279133,0.706142111601766
"34",34,0.821917808219178,0.727272727272727
"35",35,0.795107033639144,0.734649910233393
"36",36,0.75,0.74937700249199
"37",37,0.819078947368421,0.765657987332864
"38",38,0.834862385321101,0.763345195729537
"39",39,0.848375451263538,0.775578790141897
"40",40,0.817857142857143,0.77147069664578
"41",41,0.835249042145594,0.774922118380062
"42",42,0.833333333333333,0.784129692832764
"43",43,0.823529411764706,0.764795918367347
"44",44,0.797979797979798,0.776415094339623
"45",45,0.861111111111111,0.776855895196507
"46",46,0.831111111111111,0.799486960239419
"47",47,0.866071428571429,0.792942176870748
"48",48,0.845,0.808326105810928
"49",49,0.852320675105485,0.80046403712297
"50",50,0.842696629213483,0.795956746591443
"51",51,0.854054054054054,0.801966292134832
"52",52,0.842931937172775,0.830434782608696
"53",53,0.862244897959184,0.810773480662983
"54",54,0.854545454545454,0.820369574559519
"55",55,0.855072463768116,0.839300937766411
"56",56,0.851351351351351,0.843025620170801
"57",57,0.896860986547085,0.85174654752234
"58",58,0.889502762430939,0.851659336265494
"59",59,0.854368932038835,0.861635220125786
"60",60,0.928205128205128,0.870564516129032
"61",61,0.894230769230769,0.861723446893788
"62",62,0.869198312236287,0.881329113924051
"63",63,0.891213389121339,0.888484848484848
"64",64,0.928934010152284,0.891211604095563
"65",65,0.884955752212389,0.901076158940397
"66",66,0.914141414141414,0.906461816538635
"67",67,0.896713615023474,0.905899561189664
"68",68,0.91304347826087,0.91970802919708
"69",69,0.926470588235294,0.918302387267904
"70",70,0.925714285714286,0.919918905220476
"71",71,0.913333333333333,0.913399648917496
"72",72,0.888888888888889,0.92378263937897
"73",73,0.9,0.923997185080929
"74",74,0.855855855855856,0.912774725274725
"75",75,0.865384615384615,0.922118380062305
"76",76,0.905882352941176,0.898514851485149
"77",77,0.858974358974359,0.90892696122633
"78",78,0.85,0.90843621399177
"79",79,0.82051282051282,0.900214592274678
"80",80,0.876923076923077,0.886363636363636
"81",81,0.87037037037037,0.885817307692308
"82",82,0.848484848484849,0.89
"83",83,0.901960784313726,0.888590604026846
"84",84,0.836363636363636,0.892424242424242
"85",85,0.96,0.863481228668942
"86",86,0.878787878787879,0.871355060034305
"87",87,0.863636363636364,0.847169811320755
"88",88,0.790697674418605,0.823798627002288
"89",89,0.85,0.827160493827161
"90",90,0.764705882352941,0.813084112149533
"91",91,0.851851851851852,0.804878048780488
"92",92,0.791666666666667,0.761506276150628
"93",93,0.722222222222222,0.732142857142857
"94",94,0.724137931034483,0.71830985915493
"95",95,0.909090909090909,0.794117647058823
"96",96,0.6,0.631578947368421
"97",97,0.75,0.774193548387097
"98",98,0.666666666666667,0.63265306122449
"99",99,0.6,0.7
"100",100,NA,NA
